cust_id,__IGNORED__,expenses
100,744,773.26
101,867,954.87
102,845,840.68
103,7,455.21
104,582,915.85
105,747,998.87
106,368,679.95
107,886,396.88
108,769,109.58
109,796,52.72
110,119,414.54
111,822,254.95
112,749,850.71
113,741,771.54
114,504,191.02
115,581,66.06
116,678,460.76
117,796,313.37
118,890,249.6
119,480,94.83
120,345,563.92
121,555,916.33
122,359,269.34
123,856,754.96
124,819,794.18
125,709,481.55
126,696,747.51
127,836,472.67
128,56,970.39
129,318,785.51
130,828,678.43
131,454,831.9
132,625,798.75
133,209,110.57
134,560,267.84
135,189,916.67
136,692,556.62
137,363,804.54
138,155,804.58
139,241,261.38
140,390,966.52
141,266,950.39
142,688,57.58
143,315,910
144,199,366.01
145,118,79.85
146,575,541.81
147,869,697.24
148,789,292.4
149,606,975.32
150,202,86.32
151,835,733.86
152,9,289.96
153,149,730.47
154,843,84.11
155,890,992.73
156,160,835.18
157,148,646.23
158,144,488.55
159,79,401.25
160,251,448.82
161,219,850.61
162,336,834.49
163,363,942
164,725,86.02
165,962,571.13
166,599,612.97
167,960,450.4
168,530,442.67
169,284,993
170,696,601.34
171,224,791.25
172,228,22.46
173,584,372.9
174,521,965.92
175,328,617.34
176,21,874.78
177,968,308.85
178,610,907.11
179,152,778.57
180,993,598.59
181,48,658.63
182,446,129.71
183,573,395.42
184,942,520.29
185,630,937.27
186,951,223.98
187,550,597.84
188,105,492.22
189,629,477.87
190,463,732.31
191,837,408.01
192,883,579.94
193,452,875.02
194,718,808.29
195,42,535.81
196,746,25.52
197,699,187.49
198,834,223.17
199,908,826.98
200,720,900.23
201,907,558.33
202,278,743.86
203,809,173.06
204,768,38.19
205,679,837.91
206,648,224.79
207,512,404.8
208,600,54.02
209,950,614.31
210,141,783.55
211,302,993.72
212,678,469.04
213,707,594.31
214,290,349.6
215,948,11.94
216,430,656.06
217,803,547.17
218,771,152.67
219,966,206.28
220,34,201.55
221,874,701.06
222,924,941.28
223,535,129.77
224,274,28.74
225,311,130.19
226,925,24.39
227,650,924.23
228,599,740.69
229,391,299.94
230,685,814.77
231,499,405.99
232,887,547.62
233,889,519.63
234,355,548.05
235,865,336.65
236,900,315.44
237,962,11.19
238,341,903.63
239,330,106.29
240,146,401.69
241,9,937.33
242,857,429.06
243,996,488.6
244,565,715.19
245,266,544.37
246,760,924.97
247,387,667.31
248,461,342.92
249,982,350.24
250,37,128.33
251,71,692.53
252,513,259.82
253,41,909.12
254,369,402.92
255,142,942.43
256,774,315.21
257,256,815.01
258,587,110.36
259,826,536.36
260,649,383.41
261,62,348.77
262,280,11.34
263,830,716.91
264,860,33.89
265,539,343.92
266,817,59.46
267,62,201.91
268,90,49.22
269,802,750.11
270,6,518.74
271,204,929.44
272,187,681.01
273,352,688.28
274,392,72.62
275,551,619.08
276,873,538.76
277,38,270.97
278,824,23.48
279,753,405.28
280,744,57.04
281,354,636.58
282,966,803.41
283,813,833.38
284,664,890.26
285,311,563.41
286,552,512.65
287,798,665.58
288,72,307.96
289,374,826.02
290,492,787.64
291,274,597.97
292,4,155.62
293,857,521.33
294,555,713.79
295,197,746.47
296,531,66.71
297,712,218.23
298,390,697.76
299,169,384.2
300,179,19.07
301,87,903.33
302,584,40.74
303,270,409.4
304,640,826.28
305,550,648
306,944,734.13
307,287,971.18
308,22,374.02
309,882,290.41
310,669,969.75
311,968,253.17
312,597,691.13
313,867,188.14
314,368,177.35
315,567,814.32
316,491,586.84
317,460,454.97
318,562,922.92
319,655,711.54
320,648,463.18
321,192,754.23
322,554,584.21
323,631,864.16
324,197,795.79
325,6,633.71
326,575,846.49
327,168,307.58
328,211,603.42
329,432,914.91
330,182,415.77
331,943,676.45
332,30,216.88
333,262,673.48
334,902,72.3
335,884,615.4
336,677,197.92
337,352,713.11
338,768,776.4
339,203,354.18
340,330,150.16
341,542,315.68
342,534,729.34
343,375,636.31
344,509,967.68
345,281,40.1
346,536,15.3
347,484,146.31
348,766,7.3
349,273,873.86
350,517,934.12
351,358,810.76
352,142,633.71
353,330,860.86
354,645,551
355,28,127.91
356,570,638.3
357,12,43.37
358,914,726.04
359,442,423.19
360,769,847.76
361,872,859.43
362,601,89.62
363,342,920.65
364,402,619.57
365,844,807.24
366,231,467.47
367,150,472.81
368,897,512.35
369,628,827.74
370,271,301.5
371,612,633.84
372,371,253.57
373,713,831.26
374,407,522.23
375,155,756.49
376,458,972.67
377,460,688.53
378,288,686.36
379,479,682.25
380,432,462.31
381,506,708.87
382,299,514.96
383,246,149.62
384,140,229.38
385,264,930.18
386,687,368.76
387,543,674.85
388,603,495.33
389,313,81.96
390,116,532.35
391,996,831.22
392,634,297.13
393,28,390.85
394,877,990.84
395,620,492.7
396,562,358.35
397,890,920.13
398,648,882.29
399,291,155.66
400,173,509.95
401,534,875.06
402,79,357.78
403,891,683.6
404,177,254.89
405,941,237.19
406,306,198.31
407,307,182.12
408,1000,652.98
409,881,271.79
410,401,584.45
411,512,280.9
412,729,776.95
413,567,502.64
414,401,51.13
415,774,74.1
416,625,827.15
417,430,349.65
418,81,251.91
419,185,960.32
420,496,671.83
421,929,476.89
422,440,852.58
423,610,618.92
424,6,723.15
425,121,927.5
426,610,381.08
427,257,74.84
428,287,90.89
429,400,332.76
430,53,792.34
431,83,867.81
432,75,329.23
433,400,670.18
434,182,979.4
435,86,479.39
436,118,910.73
437,791,230.35
438,339,462.56
439,319,711.66
440,814,512.74
441,790,329.59
442,475,885.24
443,573,696.12
444,531,336.07
445,575,133.54
446,19,62.7
447,953,534.98
448,20,508.97
449,919,611.92
450,638,962.27
451,324,875.96
452,616,213.21
453,253,803.81
454,691,312.83
455,777,489.99
456,744,18.08
457,632,112.58
458,189,966.55
459,47,464.67
460,282,372.12
461,157,666.34
462,550,46.55
463,330,670.35
464,138,472.3
465,486,896
466,450,596.35
467,10,20.33
468,798,679.74
469,276,560.52
470,895,885.98
471,732,424.86
472,603,107.63
473,192,486.72
474,187,460.75
475,1000,788.05
476,458,72.33
477,700,956.19
478,781,879.56
479,767,832.14
480,158,697.88
481,875,627.05
482,920,540.69
483,462,747.43
484,631,707.35
485,384,511.97
486,619,520.62
487,496,411.05
488,432,468.05
489,2,92.58
490,194,28.02
491,450,131.83
492,467,785.5
493,853,959.14
494,631,756.79
495,856,945.19
496,49,703.14
497,952,971.27
498,934,993.6
499,652,688.23
500,880,853.98
501,731,900.42
502,706,756.83
